filename,width,height,class,xmin,ymin,xmax,ymax
schlachten_200_200 (10) - Copy.jpg,200,200,schlachten,43,34,66,132
schlachten_200_200 (22) - Copy.jpg,200,200,schlachten,74,31,47,104
schlachten_200_200 (22).jpg,200,200,schlachten,74,33,38,103
schlachten_200_200 (23) - Copy.jpg,200,200,schlachten,45,34,56,133
schlachten_200_200 (23).jpg,200,200,schlachten,35,48,49,114
schlachten_200_200 (24).jpg,200,200,schlachten,49,18,52,88
schlachten_200_200 (25) - Copy.jpg,200,200,schlachten,54,37,54,124
schlachten_200_200 (25).jpg,200,200,schlachten,58,40,38,107
schlachten_200_200 (26).jpg,200,200,schlachten,51,15,43,126
schlachten_200_200 (27) - Copy.jpg,200,200,schlachten,47,33,45,114
schlachten_200_200 (27).jpg,200,200,schlachten,43,36,58,128
schlachten_200_200 (28) - Copy.jpg,200,200,schlachten,51,38,32,112
schlachten_200_200 (29) - Copy.jpg,200,200,schlachten,54,25,50,134
schlachten_200_200 (29).jpg,200,200,schlachten,62,37,32,121
schlachten_200_200 (3) - Copy.jpg,200,200,schlachten,55,37,39,101
schlachten_200_200 (3).jpg,200,200,schlachten,60,45,33,94
schlachten_200_200 (30).jpg,200,200,schlachten,50,31,52,113
schlachten_200_200 (31).jpg,200,200,schlachten,56,36,50,135
schlachten_200_200 (32) - Copy.jpg,200,200,schlachten,47,21,54,136
schlachten_200_200 (33) - Copy.jpg,200,200,schlachten,54,30,49,137
schlachten_200_200 (33).jpg,200,200,schlachten,61,38,39,131
schlachten_200_200 (34).jpg,200,200,schlachten,58,48,36,129
schlachten_200_200 (35) - Copy.jpg,200,200,schlachten,62,33,49,137
schlachten_200_200 (36) - Copy.jpg,200,200,schlachten,69,38,49,122
schlachten_200_200 (36).jpg,200,200,schlachten,72,41,45,111
schlachten_200_200 (37) - Copy.jpg,200,200,schlachten,100,31,31,101
schlachten_200_200 (38) - Copy.jpg,200,200,schlachten,83,38,56,101
schlachten_200_200 (38).jpg,200,200,schlachten,92,27,38,101
schlachten_200_200 (39) - Copy.jpg,200,200,schlachten,86,26,47,115
schlachten_200_200 (39).jpg,200,200,schlachten,96,28,40,113
schlachten_200_200 (4).jpg,200,200,schlachten,48,45,57,133
schlachten_200_200 (40) - Copy.jpg,200,200,schlachten,87,19,46,120
schlachten_200_200 (40).jpg,200,200,schlachten,84,17,49,113
schlachten_200_200 (41) - Copy.jpg,200,200,schlachten,79,35,42,114
schlachten_200_200 (42) - Copy.jpg,200,200,schlachten,53,17,55,137
schlachten_200_200 (42).jpg,200,200,schlachten,48,17,65,132
schlachten_200_200 (43).jpg,200,200,schlachten,56,29,54,117
schlachten_200_200 (44) - Copy.jpg,200,200,schlachten,59,36,37,117
schlachten_200_200 (44).jpg,200,200,schlachten,59,37,38,114
schlachten_200_200 (45) - Copy.jpg,200,200,schlachten,55,45,39,130
schlachten_200_200 (45).jpg,200,200,schlachten,58,53,35,115
schlachten_200_200 (46) - Copy.jpg,200,200,schlachten,58,29,52,133
schlachten_200_200 (47) - Copy.jpg,200,200,schlachten,68,35,40,110
schlachten_200_200 (47).jpg,200,200,schlachten,67,28,50,124
schlachten_200_200 (48) - Copy.jpg,200,200,schlachten,66,28,49,133
schlachten_200_200 (48).jpg,200,200,schlachten,68,34,37,124
schlachten_200_200 (49) - Copy.jpg,200,200,schlachten,67,27,50,106
schlachten_200_200 (49).jpg,200,200,schlachten,71,25,54,115
schlachten_200_200 (5) - Copy.jpg,200,200,schlachten,58,56,36,114
schlachten_200_200 (50) - Copy.jpg,200,200,schlachten,66,31,38,94
schlachten_600 (129).jpg,600,600,schlachten,234,190,86,311
schlachten_600 (13).jpg,600,600,schlachten,235,91,112,316
schlachten_600 (130).jpg,600,600,schlachten,159,119,182,470
schlachten_600 (131).jpg,600,600,schlachten,175,159,126,367
schlachten_600 (132).jpg,600,600,schlachten,240,124,73,244
schlachten_600 (133).jpg,600,600,schlachten,154,128,113,338
schlachten_600 (134).jpg,600,600,schlachten,157,76,107,254
schlachten_600 (135).jpg,600,600,schlachten,184,120,88,311
schlachten_600 (136).jpg,600,600,schlachten,159,70,122,319
schlachten_600 (137).jpg,600,600,schlachten,169,110,104,320
schlachten_600 (138).jpg,600,600,schlachten,168,125,75,306
schlachten_600 (139).jpg,600,600,schlachten,176,99,106,362
schlachten_600 (14).jpg,600,600,schlachten,164,185,125,294
schlachten_600 (140).jpg,600,600,schlachten,167,115,119,306
schlachten_600 (141).jpg,600,600,schlachten,174,110,109,368
schlachten_600 (142).jpg,600,600,schlachten,150,86,163,384
schlachten_600 (143).jpg,600,600,schlachten,173,111,150,398
schlachten_600 (144).jpg,600,600,schlachten,173,106,109,410
schlachten_600 (145).jpg,600,600,schlachten,196,131,137,352
schlachten_600 (146).jpg,600,600,schlachten,221,134,113,356
schlachten_600 (147).jpg,600,600,schlachten,295,86,105,305
schlachten_600 (148).jpg,600,600,schlachten,274,89,112,295
schlachten_600 (149).jpg,600,600,schlachten,269,91,130,345
schlachten_600 (15).jpg,600,600,schlachten,185,112,113,304
schlachten_600 (150).jpg,600,600,schlachten,272,70,111,322
schlachten_600 (151).jpg,600,600,schlachten,228,94,129,344
schlachten_600 (152).jpg,600,600,schlachten,167,76,170,369
schlachten_600 (153).jpg,600,600,schlachten,181,105,151,336
schlachten_600 (154).jpg,600,600,schlachten,162,99,122,339
schlachten_600 (155).jpg,600,600,schlachten,179,163,97,338
schlachten_600 (156).jpg,600,600,schlachten,181,96,158,371
schlachten_600 (157).jpg,600,600,schlachten,201,82,141,360
schlachten_600 (158).jpg,600,600,schlachten,211,102,107,372
schlachten_600 (159).jpg,600,600,schlachten,199,76,145,314
schlachten_600 (16).jpg,600,600,schlachten,143,103,108,369
schlachten_600 (160).jpg,600,600,schlachten,191,88,151,284
schlachten_600 (161).jpg,600,600,schlachten,209,121,110,318
schlachten_600 (162).jpg,600,600,schlachten,231,24,142,410
schlachten_600 (163).jpg,600,600,schlachten,234,69,148,298
schlachten_600 (164).jpg,600,600,schlachten,196,185,83,248
schlachten_600 (165).jpg,600,600,schlachten,226,41,153,398
schlachten_600 (166).jpg,600,600,schlachten,192,189,109,354
schlachten_600 (167).jpg,600,600,schlachten,264,135,109,348
schlachten_600 (168).jpg,600,600,schlachten,179,44,100,384
schlachten_600 (169).jpg,600,600,schlachten,222,86,101,334
schlachten_600 (17).jpg,600,600,schlachten,182,20,128,358
schlachten_600 (170).jpg,600,600,schlachten,136,185,90,343
schlachten_600 (171).jpg,600,600,schlachten,232,59,127,364
schlachten_600 (172).jpg,600,600,schlachten,176,166,107,297
schlachten_600 (173).jpg,600,600,schlachten,191,106,103,302
schlachten_600 (174).jpg,600,600,schlachten,140,109,131,377
schlachten_600 (175).jpg,600,600,schlachten,191,26,150,340
schlachten_600 (176).jpg,600,600,schlachten,185,122,89,327
schlachten_600 (177).jpg,600,600,schlachten,162,146,130,282
schlachten_600 (178).jpg,600,600,schlachten,163,137,121,385
schlachten_600 (179).jpg,600,600,schlachten,213,64,123,354
schlachten_600 (18).jpg,600,600,schlachten,162,109,130,356
schlachten_600 (180).jpg,600,600,schlachten,158,110,143,352
schlachten_600 (181).jpg,600,600,schlachten,159,139,139,380
schlachten_600 (182).jpg,600,600,schlachten,140,63,105,415
schlachten_600 (183).jpg,600,600,schlachten,128,121,132,378
schlachten_600 (184).jpg,600,600,schlachten,155,62,127,366
schlachten_600 (185).jpg,600,600,schlachten,141,133,122,332
schlachten_600 (186).jpg,600,600,schlachten,154,75,166,325
schlachten_600 (187).jpg,600,600,schlachten,161,38,95,348
schlachten_600 (188).jpg,600,600,schlachten,162,146,135,412
schlachten_600 (189).jpg,600,600,schlachten,153,133,178,418
schlachten_600 (19).jpg,600,600,schlachten,159,136,113,277
schlachten_600 (190).jpg,600,600,schlachten,194,218,75,245
schlachten_600 (191).jpg,600,600,schlachten,215,181,98,234
schlachten_600 (192).jpg,600,600,schlachten,177,118,125,303
schlachten_600 (193).jpg,600,600,schlachten,169,169,84,297
schlachten_600 (194).jpg,600,600,schlachten,182,146,120,379
schlachten_600 (195).jpg,600,600,schlachten,167,132,137,347
schlachten_600 (196).jpg,600,600,schlachten,159,118,91,318
schlachten_600 (197).jpg,600,600,schlachten,174,195,146,352
schlachten_600 (198).jpg,600,600,schlachten,185,192,121,345
schlachten_600 (199).jpg,600,600,schlachten,149,125,127,379
schlachten_600 (2).jpg,600,600,schlachten,178,87,150,291
schlachten_600 (20).jpg,600,600,schlachten,161,117,129,393
schlachten_600 (200).jpg,600,600,schlachten,161,157,135,344
schlachten_600 (201).jpg,600,600,schlachten,178,151,124,351
schlachten_600 (202).jpg,600,600,schlachten,178,176,109,388
schlachten_600 (203).jpg,600,600,schlachten,181,159,106,402
schlachten_600 (204).jpg,600,600,schlachten,172,127,121,354
schlachten_600 (205).jpg,600,600,schlachten,185,125,79,322
schlachten_600 (206).jpg,600,600,schlachten,150,147,124,349
schlachten_600 (207).jpg,600,600,schlachten,155,145,104,378
schlachten_600 (208).jpg,600,600,schlachten,220,167,93,337
schlachten_600 (209).jpg,600,600,schlachten,170,122,148,466
schlachten_600 (21).jpg,600,600,schlachten,217,76,169,326
schlachten_600 (210).jpg,600,600,schlachten,178,161,136,359
schlachten_600 (211).jpg,600,600,schlachten,230,115,99,256
schlachten_600 (212).jpg,600,600,schlachten,151,141,107,316
schlachten_600 (213).jpg,600,600,schlachten,133,63,125,275
schlachten_600 (214).jpg,600,600,schlachten,176,115,100,316
schlachten_600 (215).jpg,600,600,schlachten,158,30,132,401
schlachten_600 (216).jpg,600,600,schlachten,153,116,116,355
schlachten_600 (217).jpg,600,600,schlachten,144,94,123,345
schlachten_600 (218).jpg,600,600,schlachten,170,96,164,361
schlachten_600 (219).jpg,600,600,schlachten,174,131,87,301
schlachten_600 (22).jpg,600,600,schlachten,164,104,116,301
schlachten_600 (220).jpg,600,600,schlachten,167,83,104,392
schlachten_600 (221).jpg,600,600,schlachten,155,89,138,376
schlachten_600 (222).jpg,600,600,schlachten,197,127,64,358
schlachten_600 (223).jpg,600,600,schlachten,178,119,156,395
schlachten_600 (224).jpg,600,600,schlachten,202,135,113,350
schlachten_600 (225).jpg,600,600,schlachten,230,142,80,306
schlachten_600 (226).jpg,600,600,schlachten,277,99,125,304
schlachten_600 (227).jpg,600,600,schlachten,291,106,90,276
schlachten_600 (228).jpg,600,600,schlachten,300,106,78,312
schlachten_600 (229).jpg,600,600,schlachten,282,52,112,344
schlachten_600 (23).jpg,600,600,schlachten,155,130,123,287
schlachten_600 (230).jpg,600,600,schlachten,253,95,112,352
schlachten_600 (231).jpg,600,600,schlachten,173,68,121,375
schlachten_600 (232).jpg,600,600,schlachten,201,108,146,352
schlachten_600 (233).jpg,600,600,schlachten,171,106,112,399
schlachten_600 (234).jpg,600,600,schlachten,181,167,99,331
schlachten_600 (235).jpg,600,600,schlachten,184,92,149,382
schlachten_600 (236).jpg,600,600,schlachten,207,96,136,345
schlachten_600 (237).jpg,600,600,schlachten,209,101,104,377
schlachten_600 (24).jpg,600,600,schlachten,113,67,157,411
schlachten_600 (25).jpg,600,600,schlachten,128,145,135,343
schlachten_600 (26).jpg,600,600,schlachten,158,68,118,343
schlachten_600 (27).jpg,600,600,schlachten,155,145,92,314
schlachten_600 (28).jpg,600,600,schlachten,159,72,135,339
schlachten_600 (29).jpg,600,600,schlachten,155,18,116,360
schlachten_600 (3).jpg,600,600,schlachten,201,102,134,346
schlachten_600 (30).jpg,600,600,schlachten,173,160,98,380
schlachten_600 (31).jpg,600,600,schlachten,168,117,155,438
schlachten_600 (32).jpg,600,600,schlachten,170,151,122,354
schlachten_600 (33).jpg,600,600,schlachten,209,183,96,214
schlachten_600 (34).jpg,600,600,schlachten,154,88,134,366
schlachten_600 (35).jpg,600,600,schlachten,152,135,146,361
schlachten_600 (36).jpg,600,600,schlachten,186,177,101,328
schlachten_600 (37).jpg,600,600,schlachten,179,138,129,361
schlachten_600 (38).jpg,600,600,schlachten,130,113,157,324
schlachten_600 (39).jpg,600,600,schlachten,191,213,101,325
schlachten_600 (4).jpg,600,600,schlachten,255,58,113,355
schlachten_600 (40).jpg,600,600,schlachten,180,200,127,336
schlachten_600 (41).jpg,600,600,schlachten,139,111,156,409
schlachten_600 (42).jpg,600,600,schlachten,175,170,107,332
schlachten_600 (43).jpg,600,600,schlachten,177,132,123,372
schlachten_600 (44).jpg,600,600,schlachten,173,162,141,415
schlachten_600 (45).jpg,600,600,schlachten,174,158,119,409
schlachten_600 (46).jpg,600,600,schlachten,165,120,122,363
schlachten_600 (47).jpg,600,600,schlachten,162,114,119,397
schlachten_600 (48).jpg,600,600,schlachten,149,156,107,343
schlachten_600 (49).jpg,600,600,schlachten,142,112,132,406
schlachten_600 (5).jpg,600,600,schlachten,227,85,150,310
